fd_id,date,competition,season,stage,status,home_team,away_team,home_score,away_score,winner
428747,2024-06-14,European Championship,2024,GROUP_STAGE,FINISHED,Germany,Scotland,5,1,HOME_TEAM
428746,2024-06-15,European Championship,2024,GROUP_STAGE,FINISHED,Hungary,Switzerland,1,3,AWAY_TEAM
428753,2024-06-15,European Championship,2024,GROUP_STAGE,FINISHED,Spain,Croatia,3,0,HOME_TEAM
428752,2024-06-15,European Championship,2024,GROUP_STAGE,FINISHED,Italy,Albania,2,1,HOME_TEAM
428765,2024-06-16,European Championship,2024,GROUP_STAGE,FINISHED,Poland,Netherlands,1,2,AWAY_TEAM
428758,2024-06-16,European Championship,2024,GROUP_STAGE,FINISHED,Slovenia,Denmark,1,1,DRAW
428759,2024-06-16,European Championship,2024,GROUP_STAGE,FINISHED,Serbia,England,0,1,AWAY_TEAM
428770,2024-06-17,European Championship,2024,GROUP_STAGE,FINISHED,Romania,Ukraine,3,0,HOME_TEAM
428771,2024-06-17,European Championship,2024,GROUP_STAGE,FINISHED,Belgium,Slovakia,0,1,AWAY_TEAM
428764,2024-06-17,European Championship,2024,GROUP_STAGE,FINISHED,Austria,France,0,1,AWAY_TEAM
428776,2024-06-18,European Championship,2024,GROUP_STAGE,FINISHED,Turkey,Georgia,3,1,HOME_TEAM
428777,2024-06-18,European Championship,2024,GROUP_STAGE,FINISHED,Portugal,Czechia,2,1,HOME_TEAM
428751,2024-06-19,European Championship,2024,GROUP_STAGE,FINISHED,Croatia,Albania,2,2,DRAW
428744,2024-06-19,European Championship,2024,GROUP_STAGE,FINISHED,Germany,Hungary,2,0,HOME_TEAM
428745,2024-06-19,European Championship,2024,GROUP_STAGE,FINISHED,Scotland,Switzerland,1,1,DRAW
428756,2024-06-20,European Championship,2024,GROUP_STAGE,FINISHED,Slovenia,Serbia,1,1,DRAW
428757,2024-06-20,European Championship,2024,GROUP_STAGE,FINISHED,Denmark,England,1,1,DRAW
428750,2024-06-20,European Championship,2024,GROUP_STAGE,FINISHED,Spain,Italy,1,0,HOME_TEAM
428769,2024-06-21,European Championship,2024,GROUP_STAGE,FINISHED,Slovakia,Ukraine,1,2,AWAY_TEAM
428763,2024-06-21,European Championship,2024,GROUP_STAGE,FINISHED,Poland,Austria,1,3,AWAY_TEAM
428762,2024-06-21,European Championship,2024,GROUP_STAGE,FINISHED,Netherlands,France,0,0,DRAW
428775,2024-06-22,European Championship,2024,GROUP_STAGE,FINISHED,Georgia,Czechia,1,1,DRAW
428774,2024-06-22,European Championship,2024,GROUP_STAGE,FINISHED,Turkey,Portugal,0,3,AWAY_TEAM
428768,2024-06-22,European Championship,2024,GROUP_STAGE,FINISHED,Belgium,Romania,2,0,HOME_TEAM
428742,2024-06-23,European Championship,2024,GROUP_STAGE,FINISHED,Scotland,Hungary,0,1,AWAY_TEAM
428743,2024-06-23,European Championship,2024,GROUP_STAGE,FINISHED,Switzerland,Germany,1,1,DRAW
428748,2024-06-24,European Championship,2024,GROUP_STAGE,FINISHED,Albania,Spain,0,1,AWAY_TEAM
428749,2024-06-24,European Championship,2024,GROUP_STAGE,FINISHED,Croatia,Italy,1,1,DRAW
428760,2024-06-25,European Championship,2024,GROUP_STAGE,FINISHED,France,Poland,1,1,DRAW
428761,2024-06-25,European Championship,2024,GROUP_STAGE,FINISHED,Netherlands,Austria,2,3,AWAY_TEAM
428754,2024-06-25,European Championship,2024,GROUP_STAGE,FINISHED,Denmark,Serbia,0,0,DRAW
428755,2024-06-25,European Championship,2024,GROUP_STAGE,FINISHED,England,Slovenia,0,0,DRAW
428766,2024-06-26,European Championship,2024,GROUP_STAGE,FINISHED,Ukraine,Belgium,0,0,DRAW
428767,2024-06-26,European Championship,2024,GROUP_STAGE,FINISHED,Slovakia,Romania,1,1,DRAW
428772,2024-06-26,European Championship,2024,GROUP_STAGE,FINISHED,Czechia,Turkey,1,2,AWAY_TEAM
428773,2024-06-26,European Championship,2024,GROUP_STAGE,FINISHED,Georgia,Portugal,2,0,HOME_TEAM
428791,2024-06-29,European Championship,2024,LAST_16,FINISHED,Switzerland,Italy,2,0,HOME_TEAM
428792,2024-06-29,European Championship,2024,LAST_16,FINISHED,Germany,Denmark,2,0,HOME_TEAM
428789,2024-06-30,European Championship,2024,LAST_16,FINISHED,England,Slovakia,2,1,HOME_TEAM
428790,2024-06-30,European Championship,2024,LAST_16,FINISHED,Spain,Georgia,4,1,HOME_TEAM
428787,2024-07-01,European Championship,2024,LAST_16,FINISHED,France,Belgium,1,0,HOME_TEAM
428788,2024-07-01,European Championship,2024,LAST_16,FINISHED,Portugal,Slovenia,3,0,HOME_TEAM
428786,2024-07-02,European Championship,2024,LAST_16,FINISHED,Romania,Netherlands,0,3,AWAY_TEAM
428785,2024-07-02,European Championship,2024,LAST_16,FINISHED,Austria,Turkey,1,2,AWAY_TEAM
495401,2024-07-05,European Championship,2024,QUARTER_FINALS,FINISHED,Spain,Germany,2,1,HOME_TEAM
495402,2024-07-05,European Championship,2024,QUARTER_FINALS,FINISHED,Portugal,France,3,5,AWAY_TEAM
495403,2024-07-06,European Championship,2024,QUARTER_FINALS,FINISHED,England,Switzerland,6,4,HOME_TEAM
495404,2024-07-06,European Championship,2024,QUARTER_FINALS,FINISHED,Netherlands,Turkey,2,1,HOME_TEAM
428780,2024-07-09,European Championship,2024,SEMI_FINALS,FINISHED,Spain,France,2,1,HOME_TEAM
428779,2024-07-10,European Championship,2024,SEMI_FINALS,FINISHED,Netherlands,England,1,2,AWAY_TEAM
428778,2024-07-14,European Championship,2024,FINAL,FINISHED,Spain,England,2,1,HOME_TEAM
524039,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,BSC Young Boys,Aston Villa FC,0,3,AWAY_TEAM
523998,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Juventus FC,PSV,3,1,HOME_TEAM
524034,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Sporting Clube de Portugal,Lille OSC,2,0,HOME_TEAM
523934,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,FC Bayern München,GNK Dinamo Zagreb,9,2,HOME_TEAM
523967,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Real Madrid CF,VfB Stuttgart,3,1,HOME_TEAM
523968,2024-09-17,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,AC Milan,Liverpool FC,1,3,AWAY_TEAM
524049,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Bologna FC 1909,FK Shakhtar Donetsk,0,0,DRAW
524062,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,AC Sparta Praha,FC Red Bull Salzburg,3,0,HOME_TEAM
523952,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Manchester City FC,FC Internazionale Milano,0,0,DRAW
523959,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Paris Saint-Germain FC,Girona FC,1,0,HOME_TEAM
523988,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Club Brugge KV,Borussia Dortmund,0,3,AWAY_TEAM
524007,2024-09-18,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Celtic FC,ŠK Slovan Bratislava,5,1,HOME_TEAM
524013,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Feyenoord Rotterdam,Bayer 04 Leverkusen,0,4,AWAY_TEAM
524029,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,FK Crvena Zvezda,Sport Lisboa e Benfica,1,2,AWAY_TEAM
524040,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,AS Monaco FC,FC Barcelona,2,1,HOME_TEAM
524067,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Stade Brestois 29,SK Sturm Graz,2,1,HOME_TEAM
523973,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Atalanta BC,Arsenal FC,0,0,DRAW
523976,2024-09-19,UEFA Champions League,2024,LEAGUE_STAGE,FINISHED,Club Atlético de Madrid,RB Leipzig,2,1,HOME_TEAM
