team,season,matches,avg_xg_for,avg_xg_against,avg_goals_for,avg_goals_against,xg_overperf
Albania,282,3,0.0,0.0,1.0,1.6666666666666667,1.0
Algeria,107,3,0.0,0.0,1.0,1.3333333333333333,1.0
Angola,107,5,0.0,0.0,1.8,0.8,1.8
Argentina,282,6,0.0,0.0,1.5,0.16666666666666666,1.5
Australia,106,4,0.39449999999999996,1.61025,1.0,1.5,0.6055
Austria,282,4,0.0,0.0,1.75,1.5,1.75
Belgium,282,4,0.0,0.0,0.5,0.5,0.5
Bolivia,282,3,0.0,0.0,0.3333333333333333,3.3333333333333335,0.3333333333333333
Brazil,282,4,0.0,0.0,1.25,0.5,1.25
Burkina Faso,107,4,0.0,0.0,1.0,1.5,1.0
Cameroon,107,4,0.0,0.0,1.25,2.0,1.25
Canada,282,6,0.0,0.0,0.6666666666666666,1.1666666666666667,0.6666666666666666
Cape Verde Islands,107,5,0.0,0.0,1.6,0.6,1.6
Chile,282,3,0.0,0.0,0.0,0.3333333333333333,0.0
Colombia,282,6,0.0,0.0,2.0,0.5,2.0
Congo DR,107,7,0.0,0.0,0.8571428571428571,0.7142857142857143,0.8571428571428571
Costa Rica,282,3,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
Croatia,282,3,0.0,0.0,1.0,2.0,1.0
Czech Republic,282,3,0.0,0.0,1.0,1.6666666666666667,1.0
Côte d'Ivoire,107,7,0.0,0.0,1.1428571428571428,1.1428571428571428,1.1428571428571428
Denmark,282,4,0.0,0.0,0.5,1.0,0.5
Ecuador,282,4,0.0,0.0,1.25,1.0,1.25
Egypt,107,4,0.0,0.0,1.75,1.75,1.75
England,282,7,0.0,0.0,1.1428571428571428,0.8571428571428571,1.1428571428571428
Equatorial Guinea,107,4,0.0,0.0,2.25,1.0,2.25
Finland,43,3,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333
France,282,6,0.0,0.0,0.6666666666666666,0.5,0.6666666666666666
Gambia,107,3,0.0,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666
Georgia,282,4,0.0,0.0,1.25,2.0,1.25
Germany,282,5,0.0,0.0,2.2,0.8,2.2
Ghana,107,3,0.0,0.0,1.6666666666666667,2.0,1.6666666666666667
Guinea,107,5,0.0,0.0,0.8,1.2,0.8
Guinea-Bissau,107,3,0.0,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666
Hungary,282,3,0.0,0.0,0.6666666666666666,1.6666666666666667,0.6666666666666666
Iceland,3,3,1.5723333333333336,1.3556666666666668,0.6666666666666666,1.6666666666666667,-0.905666666666667
Iran,106,3,1.277,1.2576666666666667,1.3333333333333333,2.3333333333333335,0.056333333333333346
Italy,282,4,0.0,0.0,0.75,1.25,0.75
Jamaica,282,3,0.0,0.0,0.3333333333333333,2.3333333333333335,0.3333333333333333
Japan,106,4,1.846,1.95325,1.25,1.0,-0.5960000000000001
Mali,107,5,0.0,0.0,1.2,0.8,1.2
Mauritania,107,4,0.0,0.0,0.75,1.25,0.75
Mexico,282,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Morocco,107,4,0.0,0.0,1.25,0.75,1.25
Mozambique,107,3,0.0,0.0,1.3333333333333333,2.3333333333333335,1.3333333333333333
Namibia,107,4,0.0,0.0,0.25,1.75,0.25
Netherlands,282,6,0.0,0.0,1.6666666666666667,1.1666666666666667,1.6666666666666667
Nigeria,107,7,0.0,0.0,1.1428571428571428,0.5714285714285714,1.1428571428571428
North Macedonia,43,3,0.0,0.0,0.6666666666666666,2.6666666666666665,0.6666666666666666
Panama,282,4,0.0,0.0,1.5,2.5,1.5
Paraguay,282,3,0.0,0.0,1.0,2.6666666666666665,1.0
Peru,282,3,0.0,0.0,0.0,1.0,0.0
Poland,282,3,0.0,0.0,1.0,2.0,1.0
Portugal,282,5,0.0,0.0,1.0,0.6,1.0
Qatar,106,3,0.4693333333333333,1.257,0.3333333333333333,2.3333333333333335,-0.136
Romania,282,4,0.0,0.0,1.0,1.5,1.0
Russia,43,3,0.0,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666
Saudi Arabia,106,3,1.067,2.1826666666666665,1.0,1.6666666666666667,-0.06699999999999995
Scotland,282,3,0.0,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666
Senegal,107,4,0.0,0.0,2.25,0.5,2.25
